sep=;
condition;trial;threshold;attempt;intensity;timestamp
Slider;1;Sensation;1;0.2;0
Slider;1;Sensation;1;0.3;1.396423
Slider;1;Sensation;1;0.4;1.874573
Slider;1;Sensation;1;0.5;2.295563
Slider;1;Sensation;1;0.4;3.449951
Slider;1;Sensation;1;0.5;3.462158
Slider;1;Sensation;1;0.4;3.474197
Slider;1;Sensation;1;0.5;3.484085
Slider;1;Sensation;1;0.4;3.495407
Slider;1;Sensation;1;0.5;4.11705
Slider;1;Sensation;1;0.6;6.560242
Slider;1;Sensation;1;0.5;7.715057
Slider;1;Sensation;1;0.6;8.838348
Slider;1;Sensation;1;0.5;9.015442
Slider;1;Sensation;1;0.4;9.337708
Slider;1;Sensation;1;0.5;10.40292
Slider;1;Discomfort;1;0.4;17.85574
Slider;1;Discomfort;1;0.3;17.93355
Slider;1;Discomfort;1;0.2;18.03322
Slider;1;Discomfort;1;0.3;18.41075
Slider;1;Discomfort;1;0.4;18.48845
Slider;1;Discomfort;1;0.5;18.57748
Slider;1;Discomfort;1;0.6;18.6774
Slider;1;Discomfort;1;0.7;18.81189
Slider;1;Discomfort;1;0.8;18.93227
Slider;1;Discomfort;1;0.9;19.02084
Slider;1;Discomfort;1;1;19.13249
Slider;1;Discomfort;1;1.1;19.92171
Slider;1;Discomfort;1;1.2;20.13246
Slider;1;Discomfort;1;1.3;20.38821
Slider;1;Discomfort;1;1.4;21.88753
Slider;1;Discomfort;1;1.5;22.30995
Slider;1;Discomfort;1;1.6;23.08667
Slider;1;Discomfort;1;1.7;24.80882
Slider;1;Discomfort;1;1.8;25.097
Slider;1;Discomfort;1;1.7;25.47548
Slider;1;Discomfort;1;1.8;26.71854
Slider;1;Discomfort;1;1.7;27.10703
Slider;1;Discomfort;1;1.8;27.11833
Slider;1;Discomfort;1;1.7;27.12933
Slider;1;Discomfort;1;1.8;27.38527
Keyboard;2;Sensation;1;0.2;0
Keyboard;2;Sensation;1;0.3;0.2873688
Keyboard;2;Sensation;1;0.4;0.5098877
Keyboard;2;Sensation;1;0.5;0.8453979
Keyboard;2;Sensation;1;0.4;2.152954
Keyboard;2;Sensation;1;0.5;2.764832
Keyboard;2;Discomfort;1;0.6;15.78175
Keyboard;2;Discomfort;1;0.7;16.0844
Keyboard;2;Discomfort;1;0.8;16.39436
Keyboard;2;Discomfort;1;0.9;17.20453
Keyboard;2;Discomfort;1;1;17.92729
Keyboard;2;Discomfort;1;1.1;18.27071
Keyboard;2;Discomfort;1;1.2;18.94708
Keyboard;2;Discomfort;1;1.3;19.29018
Keyboard;2;Discomfort;1;1.4;19.92355
Slider;3;Sensation;1;0.2;0
Slider;3;Sensation;1;0.3;0.8104248
Slider;3;Sensation;1;0.4;1.043915
Slider;3;Sensation;1;0.5;1.533142
Slider;3;Discomfort;1;0.4;8.096863
Slider;3;Discomfort;1;0.5;8.229736
Slider;3;Discomfort;1;0.6;8.351837
Slider;3;Discomfort;1;0.7;8.473831
Slider;3;Discomfort;1;0.8;8.606903
Slider;3;Discomfort;1;0.9;8.740234
Slider;3;Discomfort;1;1;8.873627
Slider;3;Discomfort;1;1.1;9.007431
Slider;3;Discomfort;1;1.2;9.173569
Slider;3;Discomfort;1;1.3;9.495804
Slider;3;Discomfort;1;1.4;9.695404
Slider;3;Discomfort;1;1.5;9.906616
Slider;3;Discomfort;1;1.6;10.30637
Keyboard;4;Sensation;1;0.2;0
Keyboard;4;Sensation;1;0.3;0.3317413
Keyboard;4;Sensation;1;0.4;0.5548553
Keyboard;4;Sensation;1;0.5;0.8310089
Keyboard;4;Sensation;1;0.6;1.164597
Keyboard;4;Sensation;1;0.5;1.865036
Keyboard;4;Discomfort;1;0.6;4.729416
Keyboard;4;Discomfort;1;0.7;4.974564
Keyboard;4;Discomfort;1;0.8;5.263016
Keyboard;4;Discomfort;1;0.9;5.540939
Keyboard;4;Discomfort;1;1;6.440018
Keyboard;4;Discomfort;1;1.1;6.684769
Keyboard;4;Discomfort;1;1.2;6.863068
Keyboard;4;Discomfort;1;1.3;7.07309
Keyboard;4;Discomfort;1;1.4;7.251587
Keyboard;4;Discomfort;1;1.5;7.805862
Keyboard;4;Discomfort;1;1.6;8.494522
