sep=;
condition;trial;threshold;attempt;intensity;timestamp
Slider;1;Sensation;1;0.2;0
Slider;1;Sensation;1;0.3;0.8075562
Slider;1;Sensation;1;0.4;1.217865
Slider;1;Sensation;1;0.5;1.673248
Slider;1;Sensation;1;0.6;2.329605
Slider;1;Sensation;1;0.7;3.561829
Slider;1;Sensation;1;0.8;4.928253
Slider;1;Sensation;1;0.9;5.794662
Slider;1;Sensation;1;0.8;7.104645
Slider;1;Sensation;1;0.7;7.337143
Slider;1;Sensation;1;0.8;8.34819
Slider;1;Sensation;1;0.7;8.626938
Slider;1;Sensation;1;0.6;8.837616
Slider;1;Sensation;1;0.7;9.660065
Slider;1;Sensation;1;0.8;10.50313
Slider;1;Sensation;1;0.9;11.12665
Slider;1;Discomfort;1;1;35.33708
Slider;1;Discomfort;1;1.1;36.15704
Slider;1;Discomfort;1;1.2;36.4593
Slider;1;Discomfort;1;1.3;37.01407
Slider;1;Discomfort;1;1.4;37.41371
Slider;1;Discomfort;1;1.5;37.79149
Slider;1;Discomfort;1;1.6;38.20186
Slider;1;Discomfort;1;1.7;38.48125
Slider;1;Discomfort;1;1.8;38.70222
Slider;1;Discomfort;1;1.9;39.39043
Slider;1;Discomfort;1;2;39.62326
Slider;1;Discomfort;1;2.1;39.8569
Slider;1;Discomfort;1;2.2;40.37987
Slider;1;Discomfort;1;2.3;40.71323
Slider;1;Discomfort;1;2.4;40.94455
Slider;1;Discomfort;1;2.5;41.35716
Slider;1;Discomfort;1;2.6;41.99976
Slider;1;Discomfort;1;2.7;42.2339
Slider;1;Discomfort;1;2.8;42.51176
Slider;1;Discomfort;1;2.9;43.03413
Slider;1;Discomfort;1;3;43.3669
Slider;1;Discomfort;1;3.1;44.17738
Slider;1;Discomfort;1;3.2;44.42165
Slider;1;Discomfort;1;3.3;44.61115
Slider;1;Discomfort;1;3.4;44.93282
Slider;1;Discomfort;1;3.5;46.84248
Slider;1;Discomfort;1;3.6;47.05373
Slider;1;Discomfort;1;3.7;47.2431
Slider;1;Discomfort;1;3.8;47.5986
Slider;1;Discomfort;1;3.9;48.20868
Slider;1;Discomfort;1;4;48.40933
Slider;1;Discomfort;1;4.1;49.34138
Slider;1;Discomfort;1;4.2;49.62999
Slider;1;Discomfort;1;4.3;50.05289
Slider;1;Discomfort;1;4.2;51.22998
Slider;1;Discomfort;1;4.3;51.99663
Keyboard;2;Sensation;1;0.2;0
Keyboard;2;Sensation;1;0.3;0.6314087
Keyboard;2;Sensation;1;0.4;0.9865875
Keyboard;2;Sensation;1;0.5;1.601257
Keyboard;2;Sensation;1;0.6;3.841049
Keyboard;2;Sensation;1;0.7;4.840729
Keyboard;2;Sensation;1;0.8;6.961334
Keyboard;2;Sensation;1;0.9;9.093994
Keyboard;2;Sensation;1;0.8;11.18185
Keyboard;2;Sensation;1;0.7;13.53905
Keyboard;2;Discomfort;1;0.8;22.19983
Keyboard;2;Discomfort;1;0.9;23.02248
Keyboard;2;Discomfort;1;1;23.61598
Keyboard;2;Discomfort;1;1.1;23.92267
Keyboard;2;Discomfort;1;1.2;24.18819
Keyboard;2;Discomfort;1;1.3;24.42152
Keyboard;2;Discomfort;1;1.4;24.71027
Keyboard;2;Discomfort;1;1.5;25.27637
Keyboard;2;Discomfort;1;1.6;25.6982
Keyboard;2;Discomfort;1;1.7;26.02251
Keyboard;2;Discomfort;1;1.8;26.30843
Keyboard;2;Discomfort;1;1.9;26.80933
Keyboard;2;Discomfort;1;2;27.09792
Keyboard;2;Discomfort;1;2.1;27.34235
Keyboard;2;Discomfort;1;2.2;27.56458
Keyboard;2;Discomfort;1;2.3;27.79736
Keyboard;2;Discomfort;1;2.4;28.08615
Keyboard;2;Discomfort;1;2.5;28.34256
Keyboard;2;Discomfort;1;2.6;28.63089
Keyboard;2;Discomfort;1;2.7;29.11969
Keyboard;2;Discomfort;1;2.8;29.37436
Keyboard;2;Discomfort;1;2.9;29.68488
Keyboard;2;Discomfort;1;3;30.20792
Keyboard;2;Discomfort;1;3.1;30.69815
Keyboard;2;Discomfort;1;3.2;31.18439
Keyboard;2;Discomfort;1;3.3;31.53922
Keyboard;2;Discomfort;1;3.4;31.82852
Keyboard;2;Discomfort;1;3.5;32.15128
Keyboard;2;Discomfort;1;3.6;33.02777
Keyboard;2;Discomfort;1;3.7;33.86099
Keyboard;2;Discomfort;1;3.8;34.72824
Keyboard;2;Discomfort;1;3.9;35.49347
Keyboard;2;Discomfort;1;4;35.78302
Keyboard;2;Discomfort;1;4.1;37.12698
Keyboard;2;Discomfort;1;4.2;39.08307
Keyboard;2;Discomfort;1;4.3;39.48154
Keyboard;2;Discomfort;1;4.4;40.69318
Keyboard;2;Discomfort;1;4.5;42.47949
Keyboard;2;Discomfort;1;4.4;45.3233
Keyboard;2;Discomfort;1;4.3;51.88812
Keyboard;2;Discomfort;1;4.2;52.09848
Keyboard;2;Discomfort;1;4.1;52.3204
Keyboard;2;Discomfort;1;4;52.53159
Keyboard;2;Discomfort;1;3.9;52.68698
Keyboard;2;Discomfort;1;3.8;52.86462
Keyboard;2;Discomfort;1;3.7;53.0423
Keyboard;2;Discomfort;1;3.6;53.2088
Keyboard;2;Discomfort;1;3.5;53.38614
Keyboard;2;Discomfort;1;3.4;53.57599
Keyboard;2;Discomfort;1;3.3;98.43323
Keyboard;2;Discomfort;1;3.4;104.0863
Keyboard;2;Discomfort;1;3.5;105.6651
Keyboard;2;Discomfort;1;3.6;111.0942
Keyboard;2;Discomfort;1;3.7;115.1827
Keyboard;2;Discomfort;1;3.8;116.7255
Keyboard;2;Discomfort;1;3.9;117.7812
Keyboard;2;Discomfort;1;4;119.5359
Keyboard;2;Discomfort;1;4.1;121.2015
Keyboard;2;Discomfort;1;4.2;123.544
Keyboard;2;Discomfort;1;4.3;125.056
Keyboard;2;Discomfort;1;4.4;127.2553
Slider;3;Sensation;1;0.2;0
Slider;3;Sensation;1;0.3;0.4221802
Slider;3;Sensation;1;0.4;0.9102478
Slider;3;Sensation;1;0.5;1.310974
Slider;3;Sensation;1;0.6;2.233154
Slider;3;Sensation;1;0.5;4.086456
Slider;3;Sensation;1;0.6;7.207764
Slider;3;Sensation;1;0.7;7.464111
Slider;3;Sensation;1;0.6;7.775116
Slider;3;Sensation;1;0.7;8.385529
Slider;3;Sensation;1;0.8;8.751617
Slider;3;Sensation;1;0.9;11.30692
Slider;3;Sensation;1;1;12.88412
Slider;3;Sensation;1;0.9;14.272
Slider;3;Sensation;1;0.8;14.42725
Slider;3;Sensation;1;0.7;16.80402
Slider;3;Sensation;1;0.8;18.08072
Slider;3;Sensation;1;0.9;21.30249
Slider;3;Discomfort;1;0.8;32.72992
