sep=;
condition;trial;sensation;discomfort;dynamicRange;firstContact-endTrial-elapsedTime;firstContact-lastContact-elapsedTime;firstContact-lastSensation-elapsedTime
Keyboard;1;2.3;3.6;1.3;51.65323;47.41954;51.65323
Slider;2;2.1;3.1;1;29.32092;25.94431;26.06662
Keyboard;3;2.5;3.6;1.1;39.70409;34.31831;39.70409
Slider;4;2.3;3.6;1.3;33.35361;27.69543;30.58725
