sep=;
condition;trial;threshold;attempt;intensity;timestamp
Keyboard;1;Sensation;1;0.2;0
Keyboard;1;Sensation;1;0.3;0.5621185
Keyboard;1;Sensation;1;0.4;0.8515778
Keyboard;1;Sensation;1;0.5;1.517471
Keyboard;1;Sensation;1;0.6;2.027985
Keyboard;1;Sensation;1;0.7;2.685211
Keyboard;1;Sensation;1;0.8;2.972855
Keyboard;1;Sensation;1;0.9;3.239822
Keyboard;1;Sensation;1;1;3.48439
Keyboard;1;Sensation;1;1.1;3.69458
Keyboard;1;Sensation;1;1.2;3.894257
Keyboard;1;Sensation;1;1.3;4.295151
Keyboard;1;Sensation;1;1.4;4.995682
Keyboard;1;Sensation;1;1.5;5.838989
Keyboard;1;Sensation;1;1.6;6.737335
Keyboard;1;Sensation;1;1.7;7.193176
Keyboard;1;Sensation;1;1.6;8.881287
Keyboard;1;Sensation;1;1.7;13.29074
Keyboard;1;Sensation;1;1.8;19.1552
Keyboard;1;Sensation;1;1.7;19.85426
Keyboard;1;Discomfort;1;1.8;32.68147
Keyboard;1;Discomfort;1;1.9;33.60445
Keyboard;1;Discomfort;1;2;33.81569
Keyboard;1;Discomfort;1;2.1;34.01445
Keyboard;1;Discomfort;1;2.2;34.19267
Keyboard;1;Discomfort;1;2.3;35.34856
Keyboard;1;Discomfort;1;2.4;37.54713
Keyboard;1;Discomfort;1;2.5;37.84578
Keyboard;1;Discomfort;1;2.6;38.83516
Keyboard;1;Discomfort;1;2.7;39.69313
Keyboard;1;Discomfort;1;2.8;40.07881
Keyboard;1;Discomfort;1;2.9;41.00075
Keyboard;1;Discomfort;1;3;41.40126
Keyboard;1;Discomfort;1;3.1;41.73305
Keyboard;1;Discomfort;1;3.2;43.54448
Keyboard;1;Discomfort;1;3.3;43.92131
Keyboard;1;Discomfort;1;3.4;45.5547
Keyboard;1;Discomfort;1;3.5;45.79805
Keyboard;1;Discomfort;1;3.6;46.04207
Keyboard;1;Discomfort;1;3.7;46.26512
Keyboard;1;Discomfort;1;3.8;48.06633
Keyboard;1;Discomfort;1;3.9;48.51918
Keyboard;1;Discomfort;1;4;48.81975
Keyboard;1;Discomfort;1;4.1;49.85161
Keyboard;1;Discomfort;1;4.2;50.07527
Keyboard;1;Discomfort;1;4.3;50.27354
Keyboard;1;Discomfort;1;4.4;50.52931
Keyboard;1;Discomfort;1;4.5;50.7296
Keyboard;1;Discomfort;1;4.6;51.01878
Keyboard;1;Discomfort;1;4.7;51.21898
Keyboard;1;Discomfort;1;4.8;52.78682
Keyboard;1;Discomfort;1;4.9;53.08379
Keyboard;1;Discomfort;1;5;53.662
Keyboard;1;Discomfort;1;5.1;53.90575
Keyboard;1;Discomfort;1;5.2;54.12746
Keyboard;1;Discomfort;1;5.3;54.34901
Keyboard;1;Discomfort;1;5.4;55.24953
Keyboard;1;Discomfort;1;5.5;55.60432
Keyboard;1;Discomfort;1;5.6;55.84871
Keyboard;1;Discomfort;1;5.7;57.73741
Keyboard;1;Discomfort;1;5.8;58.10326
Keyboard;1;Discomfort;1;5.9;58.37047
Keyboard;1;Discomfort;1;6;60.15974
Keyboard;1;Discomfort;1;6.1;61.19075
Keyboard;1;Discomfort;1;6.2;61.4131
Keyboard;1;Discomfort;1;6.3;61.62523
Keyboard;1;Discomfort;1;6.4;61.83696
Keyboard;1;Discomfort;1;6.5;62.94624
Keyboard;1;Discomfort;1;6.6;63.16914
Keyboard;1;Discomfort;1;6.7;63.39061
Keyboard;1;Discomfort;1;6.8;63.65718
Keyboard;1;Discomfort;1;6.9;64.24632
Keyboard;1;Discomfort;1;7;64.44514
Keyboard;1;Discomfort;1;7.1;64.62318
Keyboard;1;Discomfort;1;7.2;64.80098
Keyboard;1;Discomfort;1;7.3;65.61305
Keyboard;1;Discomfort;1;7.4;67.25887
Keyboard;1;Discomfort;1;7.5;67.49916
Keyboard;1;Discomfort;1;7.6;71.18626
Keyboard;1;Discomfort;1;7.7;71.412
Keyboard;1;Discomfort;1;7.8;72.28603
Keyboard;1;Discomfort;1;7.9;72.45299
Keyboard;1;Discomfort;1;8;72.65184
Keyboard;1;Discomfort;1;8.1;72.8073
Keyboard;1;Discomfort;1;8.2;72.96407
Keyboard;1;Discomfort;1;8.3;73.1851
Keyboard;1;Discomfort;1;8.400001;74.17378
