sep=;
condition;trial;threshold;attempt;intensity;timestamp
Keyboard;1;Sensation;1;0.2;0
Keyboard;1;Sensation;1;0.3;1.551788
Keyboard;1;Sensation;1;0.4;2.795975
Keyboard;1;Sensation;1;0.5;4.514954
Keyboard;1;Sensation;1;0.6;6.161148
Keyboard;1;Sensation;1;0.7;8.137909
Keyboard;1;Sensation;1;0.8;10.21561
Keyboard;1;Sensation;1;0.9;12.24696
Keyboard;1;Sensation;1;1;14.26938
Keyboard;1;Sensation;1;1.1;16.29922
Keyboard;1;Sensation;1;1.2;17.89972
Keyboard;1;Sensation;1;1.1;19.25478
Keyboard;1;Sensation;1;1;20.37421
Keyboard;1;Sensation;1;1.1;22.89767
Keyboard;1;Sensation;1;1;25.07179
Keyboard;1;Sensation;1;1.1;25.88547
Keyboard;1;Sensation;1;1;26.59669
Keyboard;1;Sensation;1;1.1;33.78191
Keyboard;1;Sensation;1;1;38.65837
Keyboard;1;Sensation;1;1.1;40.70082
Keyboard;1;Sensation;1;1;42.09003
Keyboard;1;Sensation;1;1.1;46.23227
Keyboard;1;Discomfort;1;1.2;53.44142
Keyboard;1;Discomfort;1;1.3;56.13951
Keyboard;1;Discomfort;1;1.4;57.67276
Keyboard;1;Discomfort;1;1.5;59.64929
Keyboard;1;Discomfort;1;1.6;61.26146
Keyboard;1;Discomfort;1;1.7;62.99168
Keyboard;1;Discomfort;1;1.8;64.44733
Keyboard;1;Discomfort;1;1.9;67.07805
Keyboard;1;Discomfort;1;2;68.75629
Keyboard;1;Discomfort;1;2.1;70.60066
Keyboard;1;Discomfort;1;2.2;72.40999
Keyboard;1;Discomfort;1;2.3;74.1696
Keyboard;1;Discomfort;1;2.4;76.3951
Keyboard;1;Discomfort;1;2.5;78.79622
Keyboard;1;Discomfort;1;2.6;80.35228
Keyboard;1;Discomfort;1;2.7;84.18422
Keyboard;1;Discomfort;1;2.6;87.04832
Keyboard;1;Discomfort;1;2.7;89.01472
Keyboard;1;Discomfort;1;2.8;90.76964
Keyboard;1;Discomfort;1;2.9;94.55507
Keyboard;1;Discomfort;1;3;97.38863
