sep=;
condition;trial;threshold;attempt;intensity;timestamp
Slider;1;Sensation;1;0.2;0
Slider;1;Sensation;1;0.3;0.2180176
Slider;1;Sensation;1;0.4;0.6955261
Slider;1;Sensation;1;0.5;1.107574
Slider;1;Sensation;1;0.6;1.429443
Slider;1;Sensation;1;0.7;1.940735
Slider;1;Sensation;1;0.8;2.329712
Slider;1;Sensation;1;0.9;2.863007
Slider;1;Sensation;1;1;3.261414
Slider;1;Sensation;1;1.1;3.627533
Slider;1;Sensation;1;1.2;3.983521
Slider;1;Sensation;1;1.3;4.305298
Slider;1;Sensation;1;1.4;4.638641
Slider;1;Sensation;1;1.5;5.195007
Slider;1;Sensation;1;1.4;5.206848
Slider;1;Sensation;1;1.5;5.216583
Slider;1;Sensation;1;1.4;6.117249
Slider;1;Sensation;1;1.5;6.12738
Slider;1;Sensation;1;1.4;6.138275
Slider;1;Sensation;1;1.3;7.55896
Slider;1;Sensation;1;1.4;8.636902
Slider;1;Discomfort;1;1.3;21.07687
Slider;1;Discomfort;1;1.4;21.25409
Slider;1;Discomfort;1;1.5;21.56516
Slider;1;Discomfort;1;1.6;21.84286
Slider;1;Discomfort;1;1.7;22.2532
Slider;1;Discomfort;1;1.8;22.66458
Slider;1;Discomfort;1;1.9;23.12024
Slider;1;Discomfort;1;2;23.37524
Slider;1;Discomfort;1;2.1;23.64136
Slider;1;Discomfort;1;2.2;24.00824
Slider;1;Discomfort;1;2.1;24.81958
Keyboard;2;Sensation;1;0.2;0
Keyboard;2;Sensation;1;0.3;0.6549377
Keyboard;2;Sensation;1;0.4;1.166229
Keyboard;2;Sensation;1;0.5;1.499237
Keyboard;2;Sensation;1;0.6;1.707672
Keyboard;2;Sensation;1;0.7;15.27124
Keyboard;2;Sensation;1;0.8;15.49213
Keyboard;2;Sensation;1;0.9;15.78156
Keyboard;2;Sensation;1;1;18.56784
Keyboard;2;Sensation;1;1.1;21.40088
Keyboard;2;Sensation;1;1.2;22.22455
Keyboard;2;Sensation;1;1.3;22.90018
Keyboard;2;Sensation;1;1.2;25.06619
Keyboard;2;Sensation;1;1.1;27.5423
Keyboard;2;Sensation;1;1;33.11917
Keyboard;2;Sensation;1;0.9;33.44098
Keyboard;2;Sensation;1;1;35.38553
Keyboard;2;Sensation;1;1.1;35.60645
Keyboard;2;Sensation;1;1.2;37.2952
Keyboard;2;Sensation;1;1.3;40.30475
Keyboard;2;Discomfort;1;1.4;59.34973
Keyboard;2;Discomfort;1;1.5;59.61664
Keyboard;2;Discomfort;1;1.6;59.79639
Keyboard;2;Discomfort;1;1.7;60.06299
Keyboard;2;Discomfort;1;1.8;60.8078
Keyboard;2;Discomfort;1;1.9;61.28247
Keyboard;2;Discomfort;1;2;62.38351
Keyboard;2;Discomfort;1;2.1;62.70602
