Block,TrialInBlock,Trial,CalibrationMethod,Dummy,Durtaion,SensationThreshold,DiscomfortThreshold,Comfortability,Completed,Attempts,Skipped,RespTime
0,0,0,Keyboard,0,0,0,0,0,True,1,False,181.4173
1,0,1,Slider,0,0,0,0,0,True,1,False,104.8983
2,0,2,Keyboard,0,0,0,0,0,True,1,False,112.5601
3,0,3,Slider,0,0,0,0,0,True,1,False,71.05908
