sep=;
condition;trial;threshold;attempt;intensity;timestamp
Keyboard;1;Sensation;1;0.2;0
Keyboard;1;Sensation;1;0.3;2.050659
Keyboard;1;Sensation;1;0.4;3.760025
Keyboard;1;Sensation;1;0.5;5.228439
Keyboard;1;Sensation;1;0.6;8.22551
Keyboard;1;Sensation;1;0.7;11.83557
Keyboard;1;Sensation;1;0.8;14.84546
Keyboard;1;Sensation;1;0.9;18.24283
Keyboard;1;Sensation;1;1;22.01999
Keyboard;1;Sensation;1;1.1;25.98663
Keyboard;1;Sensation;1;1.2;29.03865
Keyboard;1;Sensation;1;1.3;31.27017
Keyboard;1;Sensation;1;1.4;32.71603
Keyboard;1;Sensation;1;1.5;34.66936
Keyboard;1;Sensation;1;1.4;46.90869
Keyboard;1;Sensation;1;1.3;47.36313
Keyboard;1;Sensation;1;1.4;53.62889
Keyboard;1;Sensation;1;1.5;63.40193
Keyboard;1;Discomfort;1;1.6;84.84865
Keyboard;1;Discomfort;1;1.7;85.90465
Keyboard;1;Discomfort;1;1.8;87.79036
Keyboard;1;Discomfort;1;1.9;89.14534
Keyboard;1;Discomfort;1;2;90.52385
Keyboard;1;Discomfort;1;2.1;117.3793
Slider;2;Sensation;1;0.2;0
Slider;2;Sensation;1;0.3;0.3562622
Slider;2;Sensation;1;0.4;0.5105286
Slider;2;Sensation;1;0.5;0.621521
Slider;2;Sensation;1;0.6;0.7658386
Slider;2;Sensation;1;0.7;1.034119
Slider;2;Sensation;1;0.8;1.499786
Slider;2;Sensation;1;0.7;2.29895
Slider;2;Sensation;1;0.8;2.465851
Slider;2;Sensation;1;0.7;3.27594
Slider;2;Sensation;1;0.6;3.431793
Slider;2;Sensation;1;0.5;5.375275
Slider;2;Sensation;1;0.6;6.241699
Slider;2;Sensation;1;0.7;7.197479
Slider;2;Sensation;1;0.6;7.208221
Slider;2;Sensation;1;0.7;7.219757
Slider;2;Sensation;1;0.6;10.40662
Slider;2;Sensation;1;0.7;11.60638
Slider;2;Sensation;1;0.8;13.03967
Slider;2;Sensation;1;0.7;22.04547
Slider;2;Sensation;1;0.8;22.15671
Slider;2;Sensation;1;0.9;24.15674
Slider;2;Sensation;1;1;26.2225
Slider;2;Sensation;1;0.9;26.23383
