Block,TrialInBlock,Trial,CalibrationMethod,Dummy,Durtaion,SensationThreshold,DiscomfortThreshold,Comfortability,Completed,Attempts,Skipped,RespTime
0,0,0,Slider,0,0,0,0,0,True,1,False,54.32587
1,0,1,Keyboard,0,0,0,0,0,True,1,False,90.72298
2,0,2,Slider,0,0,0,0,0,True,1,False,44.52829
3,0,3,Keyboard,0,0,0,0,0,True,1,False,73.9072
