Block,TrialInBlock,Trial,CalibrationMethod,Dummy,Durtaion,SensationThreshold,DiscomfortThreshold,Comfortability,Completed,Attempts,Skipped,RespTime
0,0,0,Slider,0,0,0,0,0,True,1,False,97.79662
1,0,1,Keyboard,0,0,0,0,0,True,1,False,46.86606
2,0,2,Slider,0,0,0,0,0,True,1,False,40.4614
3,0,3,Keyboard,0,0,0,0,0,True,1,False,44.0788
