Block,TrialInBlock,Trial,CalibrationMethod,Dummy,Durtaion,SensationThreshold,DiscomfortThreshold,Comfortability,Completed,Attempts,Skipped,RespTime
0,0,0,Slider,0,0,0,0,0,True,1,False,122.235
1,0,1,Keyboard,0,0,0,0,0,True,1,False,61.08261
2,0,2,Slider,0,0,0,0,0,True,1,False,41.50589
3,0,3,Keyboard,0,0,0,0,0,True,1,False,105.8072
