sep=;
condition;trial;sensation;discomfort;dynamicRange;firstContact-endTrial-elapsedTime;firstContact-lastContact-elapsedTime;firstContact-lastSensation-elapsedTime
Slider;1;0.5;1.8;1.3;32.10591;27.38527;28.49637
Keyboard;2;0.5;1.4;0.9;24.29904;19.92355;24.29906
Slider;3;0.5;1.6;1.1;13.38287;10.30637;11.35114
Keyboard;4;0.5;1.6;1.1;10.97256;8.494522;10.97256
