sep=;
condition;trial;threshold;attempt;intensity;timestamp
Keyboard;1;Sensation;1;0.2;0
Keyboard;1;Sensation;1;0.3;0.4813385
Keyboard;1;Sensation;1;0.4;1.915283
Keyboard;1;Sensation;1;0.5;2.969955
Keyboard;1;Sensation;1;0.6;3.181152
Keyboard;1;Sensation;1;0.7;3.370285
Keyboard;1;Sensation;1;0.8;3.648727
Keyboard;1;Sensation;1;0.9;4.081772
Keyboard;1;Sensation;1;1;4.369415
Keyboard;1;Sensation;1;1.1;4.604156
Keyboard;1;Sensation;1;1.2;4.858871
Keyboard;1;Sensation;1;1.3;5.858032
Keyboard;1;Sensation;1;1.4;6.657959
Keyboard;1;Sensation;1;1.5;6.912582
Keyboard;1;Sensation;1;1.6;9.856171
Keyboard;1;Sensation;1;1.5;10.31219
Keyboard;1;Sensation;1;1.4;10.5125
Keyboard;1;Sensation;1;1.3;10.68845
Keyboard;1;Sensation;1;1.2;10.86571
Keyboard;1;Sensation;1;1.1;11.06715
Keyboard;1;Sensation;1;1;11.27797
Keyboard;1;Sensation;1;0.9;11.52182
Keyboard;1;Sensation;1;0.8;12.25577
Keyboard;1;Sensation;1;0.7;12.67725
Keyboard;1;Sensation;1;0.6;13.7982
Keyboard;1;Sensation;1;0.5;13.98721
Keyboard;1;Sensation;1;0.4;14.18823
Keyboard;1;Sensation;1;0.3;14.34366
Keyboard;1;Sensation;1;0.2;14.49861
Keyboard;1;Sensation;1;0.3;17.5968
Keyboard;1;Sensation;1;0.4;18.3009
Keyboard;1;Sensation;1;0.5;18.90816
Keyboard;1;Sensation;1;0.6;19.46164
Keyboard;1;Sensation;1;0.7;19.97346
Keyboard;1;Sensation;1;0.8;20.41853
Keyboard;1;Sensation;1;0.9;21.81854
Keyboard;1;Sensation;1;1;22.01709
Keyboard;1;Sensation;1;1.1;22.18336
Keyboard;1;Sensation;1;1.2;22.47276
Keyboard;1;Discomfort;1;1.3;31.17035
Keyboard;1;Discomfort;1;1.4;31.43565
Keyboard;1;Discomfort;1;1.5;32.64668
Keyboard;1;Discomfort;1;1.6;32.81328
Keyboard;1;Discomfort;1;1.7;32.96948
Keyboard;1;Discomfort;1;1.8;33.15663
Keyboard;1;Discomfort;1;1.9;33.35643
Keyboard;1;Discomfort;1;2;33.53447
Keyboard;1;Discomfort;1;2.1;33.73419
Keyboard;1;Discomfort;1;2.2;33.94691
Keyboard;1;Discomfort;1;2.3;34.17998
Keyboard;1;Discomfort;1;2.4;34.40102
Keyboard;1;Discomfort;1;2.5;34.62302
Keyboard;1;Discomfort;1;2.6;34.84552
Keyboard;1;Discomfort;1;2.7;35.63368
Keyboard;1;Discomfort;1;2.8;35.90021
Keyboard;1;Discomfort;1;2.9;36.1111
Keyboard;1;Discomfort;1;3;36.32234
Keyboard;1;Discomfort;1;3.1;39.31065
Keyboard;1;Discomfort;1;3.2;39.50949
Keyboard;1;Discomfort;1;3.3;39.71088
Keyboard;1;Discomfort;1;3.2;41.75465
Keyboard;1;Discomfort;1;3.3;48.46092
Keyboard;1;Discomfort;1;3.4;48.61713
Keyboard;1;Discomfort;1;3.5;48.81709
Keyboard;1;Discomfort;1;3.6;48.99596
Keyboard;1;Discomfort;1;3.7;49.17261
Keyboard;1;Discomfort;1;3.8;49.37196
Keyboard;1;Discomfort;1;3.9;49.60681
Keyboard;1;Discomfort;1;3.8;50.42644
Keyboard;1;Discomfort;1;3.7;50.82776
Keyboard;1;Discomfort;1;3.6;51.18265
Keyboard;1;Discomfort;1;3.5;51.82713
Slider;2;Sensation;1;0.2;0
Slider;2;Sensation;1;0.3;0.1443787
Slider;2;Sensation;1;0.4;0.3108826
Slider;2;Sensation;1;0.5;0.5098114
Slider;2;Sensation;1;0.6;0.665802
Slider;2;Sensation;1;0.7;0.7766418
Slider;2;Sensation;1;0.8;0.8659821
Slider;2;Sensation;1;0.9;0.9667358
Slider;2;Sensation;1;1;1.066345
Slider;2;Sensation;1;1.1;1.177017
Slider;2;Sensation;1;1.2;1.320862
Slider;2;Sensation;1;1.3;1.476151
Slider;2;Sensation;1;1.4;1.621399
Slider;2;Sensation;1;1.5;1.753937
Slider;2;Sensation;1;1.6;1.88858
Slider;2;Sensation;1;1.7;2.043304
Slider;2;Sensation;1;1.8;2.199356
Slider;2;Sensation;1;1.9;2.354492
Slider;2;Sensation;1;1.8;2.977539
Slider;2;Sensation;1;1.9;3.787231
Slider;2;Sensation;1;1.8;4.242401
Slider;2;Discomfort;1;1.7;10.61693
Slider;2;Discomfort;1;1.8;10.7717
Slider;2;Discomfort;1;1.9;10.91638
Slider;2;Discomfort;1;2;11.03886
Slider;2;Discomfort;1;2.1;11.15024
Slider;2;Discomfort;1;2.2;11.25102
Slider;2;Discomfort;1;2.3;11.36214
Slider;2;Discomfort;1;2.4;11.47212
Slider;2;Discomfort;1;2.5;11.58328
Slider;2;Discomfort;1;2.6;11.69487
Slider;2;Discomfort;1;2.7;11.79507
Slider;2;Discomfort;1;2.8;11.90662
Slider;2;Discomfort;1;2.9;12.00662
Slider;2;Discomfort;1;3;12.12839
Slider;2;Discomfort;1;3.1;12.30585
Slider;2;Discomfort;1;3.2;12.59509
Slider;2;Discomfort;1;3.3;12.85007
Slider;2;Discomfort;1;3.4;13.06139
Slider;2;Discomfort;1;3.5;13.23875
Slider;2;Discomfort;1;3.6;13.56042
Slider;2;Discomfort;1;3.7;14.41542
Slider;2;Discomfort;1;3.8;14.57043
Slider;2;Discomfort;1;3.7;15.7487
Slider;2;Discomfort;1;3.6;16.02556
Slider;2;Discomfort;1;3.5;16.2382
Slider;2;Discomfort;1;3.4;16.46954
Slider;2;Discomfort;1;3.3;16.68047
Slider;2;Discomfort;1;3.4;18.02545
Slider;2;Discomfort;1;3.5;20.7348
Slider;2;Discomfort;1;3.4;23.35707
Slider;2;Discomfort;1;3.5;23.47841
Slider;2;Discomfort;1;3.6;23.54514
Slider;2;Discomfort;1;3.7;23.58986
Slider;2;Discomfort;1;3.8;23.634
Slider;2;Discomfort;1;3.9;23.67839
Slider;2;Discomfort;1;4;23.73418
Slider;2;Discomfort;1;4.1;23.80185
Slider;2;Discomfort;1;4;23.95592
Slider;2;Discomfort;1;4.1;26.03247
Slider;2;Discomfort;1;4;26.12138
Slider;2;Discomfort;1;3.9;26.19991
Slider;2;Discomfort;1;3.8;26.27718
Slider;2;Discomfort;1;3.7;26.3549
Slider;2;Discomfort;1;3.6;26.48831
