sep=;
condition;trial;sensation;discomfort;dynamicRange;firstContact-endTrial-elapsedTime;firstContact-lastContact-elapsedTime;firstContact-lastSensation-elapsedTime
Slider;1;1.9;6.4;4.5;47.77684;44.58853;45.46619
Keyboard;2;3.2;7.5;4.3;80.70831;71.58975;80.70834
Slider;3;4.2;7.8;3.6;39.8316;34.85617;35.03381
Keyboard;4;3.8;8.400001;4.6;62.2684;58.45911;62.24646
